timestamp,scan_id,tornado_detected,probability,latitude,longitude,sensor,source
2013-08-31T23:40:07Z,scan_000000,0,0.4453,42.19966,-75.9848,KBGM,thornet_production_v2
2013-08-31T23:44:22Z,scan_000001,0,0.3968,42.19966,-75.9848,KBGM,thornet_production_v2
2013-08-31T23:48:37Z,scan_000002,0,0.4672,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T00:01:21Z,scan_000003,0,0.435,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T00:14:05Z,scan_000004,0,0.4768,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T00:18:20Z,scan_000005,0,0.3968,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T00:31:06Z,scan_000006,0,0.3968,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T00:35:21Z,scan_000007,0,0.415,42.19966,-75.9848,KBGM,thornet_production_v2
2013-09-01T03:56:29Z,scan_000008,0,0.4967,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:01:10Z,scan_000009,1,0.5349,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:05:51Z,scan_000010,0,0.413,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:10:32Z,scan_000011,0,0.3968,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:11:02Z,scan_000012,1,0.5404,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:15:13Z,scan_000013,0,0.4135,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:15:40Z,scan_000014,1,0.5355,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:19:55Z,scan_000015,0,0.414,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:20:18Z,scan_000016,0,0.4277,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:29:16Z,scan_000017,0,0.4903,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:29:35Z,scan_000018,0,0.4234,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:33:57Z,scan_000019,0,0.3968,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:34:14Z,scan_000020,0,0.4041,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:38:37Z,scan_000021,0,0.3968,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T04:38:52Z,scan_000022,0,0.4141,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:43:31Z,scan_000023,0,0.4461,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:52:47Z,scan_000024,0,0.4644,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T04:57:25Z,scan_000025,0,0.4213,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T05:02:02Z,scan_000026,0,0.4429,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T05:06:42Z,scan_000027,1,0.5209,43.58772,-96.72948,KFSD,thornet_production_v2
2013-09-01T05:11:26Z,scan_000028,0,0.3968,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T05:16:06Z,scan_000029,0,0.3968,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T05:20:47Z,scan_000030,1,0.5022,38.26038,-87.72454,KVWX,thornet_production_v2
2013-09-01T05:21:34Z,scan_000031,0,0.3968,35.7012,-114.89212,KESX,thornet_production_v2
2013-09-01T05:25:55Z,scan_000032,0,0.3968,35.7012,-114.89212,KESX,thornet_production_v2
2013-09-01T05:34:35Z,scan_000033,0,0.3968,35.7012,-114.89212,KESX,thornet_production_v2
2013-09-01T05:34:50Z,scan_000034,0,0.4046,38.26038,-87.72454,KVWX,thornet_production_v2
